loan_amnt,term,int_rate,grade,sub_grade,annual_inc,purpose,dti,fico_range_low,fico_range_high,duration,event_type,term_months
24000.0, 36 months,6.49,A,A2,105000.0,credit_card,8.46,705.0,709.0,11.0,2,36.0
32000.0, 36 months,6.89,A,A3,128000.0,debt_consolidation,14.62,690.0,694.0,34.0,2,36.0
5000.0, 36 months,5.32,A,A1,30000.0,home_improvement,14.08,780.0,784.0,4.0,2,36.0
8000.0, 36 months,6.49,A,A2,45000.0,debt_consolidation,14.85,725.0,729.0,8.0,2,36.0
6000.0, 36 months,7.97,A,A5,52000.0,credit_card,15.42,720.0,724.0,14.0,0,36.0
10000.0, 36 months,8.46,A,A5,33000.0,credit_card,11.16,690.0,694.0,8.0,0,36.0
8000.0, 36 months,7.35,A,A4,100000.0,home_improvement,17.5,745.0,749.0,5.0,2,36.0
5750.0, 36 months,7.49,A,A4,28704.0,other,7.44,730.0,734.0,6.0,2,36.0
14400.0, 36 months,5.32,A,A1,125000.0,credit_card,10.87,735.0,739.0,20.0,0,36.0
15000.0, 36 months,8.81,A,A5,58000.0,debt_consolidation,5.92,670.0,674.0,3.0,0,36.0
20000.0, 36 months,7.62,A,A3,52000.0,debt_consolidation,21.85,750.0,754.0,36.0,2,36.0
25000.0, 36 months,6.46,A,A1,48000.0,debt_consolidation,45.8,730.0,734.0,3.0,0,36.0
30000.0, 60 months,7.35,A,A4,120000.0,debt_consolidation,3.93,785.0,789.0,16.0,0,60.0
24000.0, 36 months,7.49,A,A4,85000.0,debt_consolidation,16.29,775.0,779.0,22.0,0,36.0
25000.0, 36 months,6.99,A,A2,130000.0,debt_consolidation,9.3,700.0,704.0,7.0,2,36.0
30000.0, 36 months,7.89,A,A5,120000.0,debt_consolidation,31.36,715.0,719.0,33.0,0,36.0
9000.0, 36 months,7.97,A,A5,48000.0,debt_consolidation,27.88,725.0,729.0,17.0,0,36.0
25750.0, 36 months,6.24,A,A2,56000.0,debt_consolidation,26.23,715.0,719.0,26.0,2,36.0
24000.0, 36 months,6.62,A,A2,160000.0,credit_card,22.5,740.0,744.0,33.0,2,36.0
18000.0, 36 months,7.59,A,A3,115000.0,debt_consolidation,7.99,680.0,684.0,31.0,0,36.0
20000.0, 36 months,7.49,A,A4,85000.0,credit_card,14.68,680.0,684.0,15.0,2,36.0
24000.0, 36 months,5.32,A,A1,93000.0,debt_consolidation,18.86,740.0,744.0,1.0,2,36.0
18000.0, 36 months,7.46,A,A4,150000.0,debt_consolidation,26.02,730.0,734.0,10.0,0,36.0
11000.0, 60 months,8.46,A,A5,62000.0,debt_consolidation,20.36,665.0,669.0,4.0,0,60.0
28000.0, 36 months,7.91,A,A5,75000.0,credit_card,19.41,690.0,694.0,36.0,2,36.0
10000.0, 36 months,6.49,A,A2,48000.0,credit_card,19.38,730.0,734.0,26.0,2,36.0
35675.0, 36 months,7.99,A,A5,157000.0,credit_card,11.73,710.0,714.0,26.0,0,36.0
10000.0, 36 months,6.99,A,A3,33000.0,debt_consolidation,19.27,715.0,719.0,36.0,2,36.0
38000.0, 36 months,7.21,A,A3,100000.0,debt_consolidation,16.3,745.0,749.0,16.0,0,36.0
9000.0, 36 months,7.89,A,A5,59000.0,credit_card,29.7,660.0,664.0,36.0,2,36.0
20700.0, 36 months,8.39,A,A5,160000.0,home_improvement,15.93,720.0,724.0,28.0,2,36.0
10000.0, 36 months,6.11,A,A1,163000.0,debt_consolidation,9.44,775.0,779.0,7.0,0,36.0
32000.0, 36 months,7.34,A,A4,155000.0,debt_consolidation,18.46,690.0,694.0,8.0,2,36.0
5000.0, 36 months,8.59,A,A5,40000.0,debt_consolidation,24.0,680.0,684.0,31.0,0,36.0
8800.0, 36 months,6.97,A,A3,82000.0,debt_consolidation,11.44,670.0,674.0,24.0,2,36.0
10000.0, 36 months,6.72,A,A3,96000.0,debt_consolidation,9.43,745.0,749.0,14.0,0,36.0
7000.0, 36 months,5.31,A,A1,82000.0,debt_consolidation,0.37,780.0,784.0,10.0,0,36.0
25000.0, 36 months,6.07,A,A2,70000.0,other,31.58,770.0,774.0,12.0,0,36.0
2400.0, 36 months,8.08,A,A5,52000.0,credit_card,15.69,760.0,764.0,9.0,0,36.0
8000.0, 36 months,6.11,A,A1,84228.0,debt_consolidation,6.24,705.0,709.0,5.0,0,36.0
24000.0, 36 months,7.49,A,A4,82000.0,debt_consolidation,25.16,730.0,734.0,23.0,0,36.0
12000.0, 36 months,6.99,A,A2,38000.0,debt_consolidation,7.59,720.0,724.0,30.0,0,36.0
15350.0, 60 months,7.89,A,A5,86000.0,credit_card,17.81,720.0,724.0,49.0,0,60.0
3200.0, 36 months,6.99,A,A2,70000.0,credit_card,10.2,695.0,699.0,18.0,2,36.0
6000.0, 36 months,8.39,A,A5,75000.0,debt_consolidation,18.77,730.0,734.0,9.0,1,36.0
15000.0, 36 months,6.67,A,A2,135000.0,home_improvement,17.28,765.0,769.0,5.0,0,36.0
7000.0, 36 months,7.89,A,A5,37000.0,debt_consolidation,14.61,720.0,724.0,36.0,2,36.0
22000.0, 36 months,5.32,A,A1,89000.0,credit_card,15.75,740.0,744.0,27.0,2,36.0
7500.0, 36 months,7.84,A,A4,40000.0,credit_card,27.3,760.0,764.0,4.0,0,36.0
30000.0, 36 months,8.08,A,A5,53600.0,debt_consolidation,28.12,720.0,724.0,9.0,0,36.0
8000.0, 36 months,6.08,A,A2,57000.0,other,13.75,770.0,774.0,13.0,0,36.0
9100.0, 36 months,5.32,A,A1,55000.0,debt_consolidation,22.95,725.0,729.0,19.0,2,36.0
12600.0, 36 months,5.32,A,A1,110000.0,credit_card,3.9,730.0,734.0,22.0,2,36.0
20000.0, 36 months,7.21,A,A3,100000.0,debt_consolidation,10.72,740.0,744.0,8.0,0,36.0
6000.0, 36 months,6.72,A,A3,45000.0,debt_consolidation,13.72,740.0,744.0,13.0,0,36.0
37000.0, 36 months,5.31,A,A1,120000.0,credit_card,12.81,685.0,689.0,9.0,0,36.0
40000.0, 36 months,7.84,A,A4,50000.0,debt_consolidation,19.13,755.0,759.0,5.0,0,36.0
28000.0, 36 months,6.49,A,A2,103000.0,debt_consolidation,18.77,725.0,729.0,36.0,2,36.0
10000.0, 36 months,7.97,A,A5,50000.0,credit_card,18.9,680.0,684.0,16.0,0,36.0
